row,col,r,c,value,status
"Alt Camp",Estaciones,1,1,Vila-rodona,
"Alt Camp",Enero,1,2,32,
"Alt Camp",Febrero,1,3,11.4,
"Alt Camp",Marzo,1,4,71.2,
"Alt Camp",Abril,1,5,52.4,
"Alt Camp",Mayo,1,6,25.8,
"Alt Camp",Junio,1,7,62.9,
"Alt Camp",Julio,1,8,15.9,
"Alt Camp",Agosto,1,9,29.4,
"Alt Camp",Septiembre,1,10,82.4,
"Alt Camp",Octubre,1,11,136.1,
"Alt Camp",Noviembre,1,12,79,
"Alt Camp",Diciembre,1,13,27.5,
"Alt Camp",Total,1,14,626,
"Alt Empordà",Estaciones,2,1,Roses,
"Alt Empordà",Enero,2,2,16.2,
"Alt Empordà",Febrero,2,3,41.9,
"Alt Empordà",Marzo,2,4,124.4,
"Alt Empordà",Abril,2,5,39.7,
"Alt Empordà",Mayo,2,6,86.7,
"Alt Empordà",Junio,2,7,31.7,
"Alt Empordà",Julio,2,8,26.9,
"Alt Empordà",Agosto,2,9,14,
"Alt Empordà",Septiembre,2,10,33.6,
"Alt Empordà",Octubre,2,11,70.1,
"Alt Empordà",Noviembre,2,12,83.1,
"Alt Empordà",Diciembre,2,13,94.2,
"Alt Empordà",Total,2,14,662.5,
"Alt Penedès",Estaciones,3,1,"Vilafranca del Penedès - la Granada",
"Alt Penedès",Enero,3,2,16.4,
"Alt Penedès",Febrero,3,3,12,
"Alt Penedès",Marzo,3,4,70.4,
"Alt Penedès",Abril,3,5,60.9,
"Alt Penedès",Mayo,3,6,26.1,
"Alt Penedès",Junio,3,7,64.4,
"Alt Penedès",Julio,3,8,8.6,
"Alt Penedès",Agosto,3,9,18.9,
"Alt Penedès",Septiembre,3,10,45.8,
"Alt Penedès",Octubre,3,11,125.6,
"Alt Penedès",Noviembre,3,12,42.4,
"Alt Penedès",Diciembre,3,13,32.5,
"Alt Penedès",Total,3,14,524,
"Alt Urgell",Estaciones,4,1,"la Seu d'Urgell - Bellestar",
"Alt Urgell",Enero,4,2,21,
"Alt Urgell",Febrero,4,3,23.7,
"Alt Urgell",Marzo,4,4,100.7,
"Alt Urgell",Abril,4,5,56.9,
"Alt Urgell",Mayo,4,6,86.8,
"Alt Urgell",Junio,4,7,88.4,
"Alt Urgell",Julio,4,8,47.9,
"Alt Urgell",Agosto,4,9,31.3,
"Alt Urgell",Septiembre,4,10,116.2,
"Alt Urgell",Octubre,4,11,181.8,
"Alt Urgell",Noviembre,4,12,12.8,
"Alt Urgell",Diciembre,4,13,10,
"Alt Urgell",Total,4,14,777.5,
"Alta Ribagorça",Estaciones,5,1,"el Pont de Suert",
"Alta Ribagorça",Enero,5,2,43.6,
