row,col,r,c,value,status
"Alt Camp",Estaciones,1,1,Vila-rodona,
"Alt Camp","Media mensual / Enero",1,2,15.3,
"Alt Camp","Media mensual / Febrero",1,3,17.6,
"Alt Camp","Media mensual / Marzo",1,4,17.9,
"Alt Camp","Media mensual / Abril",1,5,21,
"Alt Camp","Media mensual / Mayo",1,6,23.7,
"Alt Camp","Media mensual / Junio",1,7,27.1,
"Alt Camp","Media mensual / Julio",1,8,31.4,
"Alt Camp","Media mensual / Agosto",1,9,32.2,
"Alt Camp","Media mensual / Septiembre",1,10,25.6,
"Alt Camp","Media mensual / Octubre",1,11,22.5,
"Alt Camp","Media mensual / Noviembre",1,12,18.2,
"Alt Camp","Media mensual / Diciembre",1,13,14.4,
"Alt Camp","Media mensual / Media anual",1,14,22.3,
"Alt Empordà",Estaciones,2,1,Roses,
"Alt Empordà","Media mensual / Enero",2,2,15.4,
"Alt Empordà","Media mensual / Febrero",2,3,18.1,
"Alt Empordà","Media mensual / Marzo",2,4,18.7,
"Alt Empordà","Media mensual / Abril",2,5,20.3,
"Alt Empordà","Media mensual / Mayo",2,6,22.7,
"Alt Empordà","Media mensual / Junio",2,7,27.1,
"Alt Empordà","Media mensual / Julio",2,8,31.9,
"Alt Empordà","Media mensual / Agosto",2,9,32.4,
"Alt Empordà","Media mensual / Septiembre",2,10,26.5,
"Alt Empordà","Media mensual / Octubre",2,11,22.6,
"Alt Empordà","Media mensual / Noviembre",2,12,18.5,
"Alt Empordà","Media mensual / Diciembre",2,13,14.8,
"Alt Empordà","Media mensual / Media anual",2,14,22.4,
"Alt Penedès",Estaciones,3,1,"Vilafranca del Penedès - la Granada",
"Alt Penedès","Media mensual / Enero",3,2,15.3,
"Alt Penedès","Media mensual / Febrero",3,3,17.9,
"Alt Penedès","Media mensual / Marzo",3,4,17.7,
"Alt Penedès","Media mensual / Abril",3,5,20.3,
"Alt Penedès","Media mensual / Mayo",3,6,23.3,
"Alt Penedès","Media mensual / Junio",3,7,26.5,
"Alt Penedès","Media mensual / Julio",3,8,31.1,
"Alt Penedès","Media mensual / Agosto",3,9,32.1,
"Alt Penedès","Media mensual / Septiembre",3,10,25.8,
"Alt Penedès","Media mensual / Octubre",3,11,22.5,
"Alt Penedès","Media mensual / Noviembre",3,12,17.9,
"Alt Penedès","Media mensual / Diciembre",3,13,14.3,
"Alt Penedès","Media mensual / Media anual",3,14,22.1,
"Alt Urgell",Estaciones,4,1,"la Seu d'Urgell - Bellestar",
"Alt Urgell","Media mensual / Enero",4,2,11.5,
"Alt Urgell","Media mensual / Febrero",4,3,15.3,
"Alt Urgell","Media mensual / Marzo",4,4,15.3,
"Alt Urgell","Media mensual / Abril",4,5,18.9,
"Alt Urgell","Media mensual / Mayo",4,6,21,
"Alt Urgell","Media mensual / Junio",4,7,26.2,
"Alt Urgell","Media mensual / Julio",4,8,31.7,
"Alt Urgell","Media mensual / Agosto",4,9,32.2,
"Alt Urgell","Media mensual / Septiembre",4,10,22.7,
"Alt Urgell","Media mensual / Octubre",4,11,19.2,
"Alt Urgell","Media mensual / Noviembre",4,12,15.7,
"Alt Urgell","Media mensual / Diciembre",4,13,11.7,
"Alt Urgell","Media mensual / Media anual",4,14,20.1,
"Alta Ribagorça",Estaciones,5,1,"el Pont de Suert",
"Alta Ribagorça","Media mensual / Enero",5,2,12,
"Alta Ribagorça","Media mensual / Febrero",5,3,15,
"Alta Ribagorça","Media mensual / Marzo",5,4,15.3,
"Alta Ribagorça","Media mensual / Abril",5,5,18.9,
"Alta Ribagorça","Media mensual / Mayo",5,6,21,
"Alta Ribagorça","Media mensual / Junio",5,7,25.8,
"Alta Ribagorça","Media mensual / Julio",5,8,30.8,
"Alta Ribagorça","Media mensual / Agosto",5,9,31.7,
"Alta Ribagorça","Media mensual / Septiembre",5,10,22.1,
"Alta Ribagorça","Media mensual / Octubre",5,11,18.7,
"Alta Ribagorça","Media mensual / Noviembre",5,12,16.1,
"Alta Ribagorça","Media mensual / Diciembre",5,13,12,
"Alta Ribagorça","Media mensual / Media anual",5,14,20,
