row,col,r,c,value,status
"Alt Camp",Estaciones,1,1,Vila-rodona,
"Alt Camp","Media mensual / Enero",1,2,6.1,
"Alt Camp","Media mensual / Febrero",1,3,7.7,
"Alt Camp","Media mensual / Marzo",1,4,7.2,
"Alt Camp","Media mensual / Abril",1,5,8.8,
"Alt Camp","Media mensual / Mayo",1,6,11.3,
"Alt Camp","Media mensual / Junio",1,7,15.8,
"Alt Camp","Media mensual / Julio",1,8,18.5,
"Alt Camp","Media mensual / Agosto",1,9,19.7,
"Alt Camp","Media mensual / Septiembre",1,10,15.1,
"Alt Camp","Media mensual / Octubre",1,11,13.2,
"Alt Camp","Media mensual / Noviembre",1,12,10.1,
"Alt Camp","Media mensual / Diciembre",1,13,6,
"Alt Camp","Media mensual / Media anual",1,14,11.6,
"Alt Empordà",Estaciones,2,1,Roses,
"Alt Empordà","Media mensual / Enero",2,2,5.2,
"Alt Empordà","Media mensual / Febrero",2,3,6.9,
"Alt Empordà","Media mensual / Marzo",2,4,8.8,
"Alt Empordà","Media mensual / Abril",2,5,10.7,
"Alt Empordà","Media mensual / Mayo",2,6,12.2,
"Alt Empordà","Media mensual / Junio",2,7,16.9,
"Alt Empordà","Media mensual / Julio",2,8,20.4,
"Alt Empordà","Media mensual / Agosto",2,9,20.9,
"Alt Empordà","Media mensual / Septiembre",2,10,16.6,
"Alt Empordà","Media mensual / Octubre",2,11,14.8,
"Alt Empordà","Media mensual / Noviembre",2,12,10.7,
"Alt Empordà","Media mensual / Diciembre",2,13,5.3,
"Alt Empordà","Media mensual / Media anual",2,14,12.5,
"Alt Penedès",Estaciones,3,1,"Vilafranca del Penedès - la Granada",
"Alt Penedès","Media mensual / Enero",3,2,4.7,
"Alt Penedès","Media mensual / Febrero",3,3,6.2,
"Alt Penedès","Media mensual / Marzo",3,4,7.1,
"Alt Penedès","Media mensual / Abril",3,5,8.4,
"Alt Penedès","Media mensual / Mayo",3,6,11.1,
"Alt Penedès","Media mensual / Junio",3,7,15.6,
"Alt Penedès","Media mensual / Julio",3,8,17.8,
"Alt Penedès","Media mensual / Agosto",3,9,19.3,
"Alt Penedès","Media mensual / Septiembre",3,10,14.2,
"Alt Penedès","Media mensual / Octubre",3,11,12.5,
"Alt Penedès","Media mensual / Noviembre",3,12,9.6,
"Alt Penedès","Media mensual / Diciembre",3,13,4.4,
"Alt Penedès","Media mensual / Media anual",3,14,10.9,
"Alt Urgell",Estaciones,4,1,"la Seu d'Urgell - Bellestar",
"Alt Urgell","Media mensual / Enero",4,2,-0.9,
"Alt Urgell","Media mensual / Febrero",4,3,1.3,
"Alt Urgell","Media mensual / Marzo",4,4,2.7,
"Alt Urgell","Media mensual / Abril",4,5,4.3,
"Alt Urgell","Media mensual / Mayo",4,6,7.4,
"Alt Urgell","Media mensual / Junio",4,7,11.7,
"Alt Urgell","Media mensual / Julio",4,8,15.1,
"Alt Urgell","Media mensual / Agosto",4,9,15.6,
"Alt Urgell","Media mensual / Septiembre",4,10,9.4,
"Alt Urgell","Media mensual / Octubre",4,11,8.4,
"Alt Urgell","Media mensual / Noviembre",4,12,4.2,
"Alt Urgell","Media mensual / Diciembre",4,13,-0.8,
"Alt Urgell","Media mensual / Media anual",4,14,6.6,
"Alta Ribagorça",Estaciones,5,1,"el Pont de Suert",
"Alta Ribagorça","Media mensual / Enero",5,2,-2.7,
"Alta Ribagorça","Media mensual / Febrero",5,3,-1.4,
"Alta Ribagorça","Media mensual / Marzo",5,4,0.2,
"Alta Ribagorça","Media mensual / Abril",5,5,1.7,
"Alta Ribagorça","Media mensual / Mayo",5,6,4.9,
"Alta Ribagorça","Media mensual / Junio",5,7,8.9,
"Alta Ribagorça","Media mensual / Julio",5,8,11.6,
"Alta Ribagorça","Media mensual / Agosto",5,9,12.6,
"Alta Ribagorça","Media mensual / Septiembre",5,10,7.2,
"Alta Ribagorça","Media mensual / Octubre",5,11,6.6,
